类别,公司名称,公司位置,项目名字,关键词,文件路径,下标位置
招标公告,大同市城区曙光幼儿园,山西省,大同市城区曙光幼儿园室内装修及室外场地工程招标公告,室外 场地工程 室内 装修 幼儿园 山西省,data/bidding/t_model_aa,2
招标公告,寿阳县平头镇中学,山西省,寿阳县平头镇中学供热改造工程谈判公告,供热 改造 工程 安装 调试 中学 山西省,data/bidding/t_model_aa,4
招标公告,临猗县文化局,山西省,临猗县文化局大剧院室内声学及装修工程招标公告,装修 工程 室内 声学 文化局 山西省,data/bidding/t_model_aa,5
招标公告,大同市道路运输管理处,山西省,大同市道路运输管理处及平旺运管所交通业务大厅房屋租赁磋商公告,运管所 交通 房屋 租赁 管理处 山西省,data/bidding/t_model_aa,6
招标公告,吕梁市住房保障和城乡建设管理局,山西省,吕梁市住房保障和城乡建设管理局吕梁市区集中供热全覆盖工程初步设计编制项目谈判公告,工程 初步设计 集中供热 管理局 山西省,data/bidding/t_model_aa,7
招标公告,山西省公路局,山西省,山西省公路局机关视频会议线路租赁服务谈判公告,线路 租赁 服务 视频会议 公路局 山西省,data/bidding/t_model_aa,8
招标公告,临汾市城市建设档案馆,山西省,临汾市城市建设档案馆临汾市城市建设档案馆馆库安防设施维修改造工程谈判公告,维修 改造 工程 设施 档案馆 山西省,data/bidding/t_model_aa,10
招标公告,新疆中瑞德盈国际物流股份有限公司,新疆维吾尔自治区,兵团乌鲁木齐国际物流园仓储物流库,物流园 仓储 有限公司 新疆维吾尔自治区,data/bidding/t_model_aa,11
招标公告,号文批准建设新疆生产建设兵团第十师一八八团招标人为新疆生产建设兵团第十师一八八团建设资金为团场自筹资金项目已具备招标条件新疆谊诚工程项目管理咨询有限公司北屯市分公司,新疆维吾尔自治区,一八八团温室大棚建设项目设计三次招标公告,建设 设计 温室 大棚 新疆维吾尔自治区,data/bidding/t_model_aa,12
招标公告,山西省畜牧兽医学校,山西省,山西省畜牧兽医学校牧校,牧校 零星 维修 学校 山西省,data/bidding/t_model_aa,13
中标公告,广东鸿宇建筑与工程设计顾问有限公司,江西省,赣州市九鼎招标代理有限公司关于江西省寻乌县人民医院新住院大楼项目绿色建筑设计项目项目编号,住院 大楼 建筑设计 江西省,data/bidding/t_model_aa,15
招标公告,闻喜县交通运输局,山西省,闻喜县交通运输局汽车客运站工程监理招标公告,工程 监理 汽车 客运站 局 山西省,data/bidding/t_model_aa,16
招标公告,号文批准建设第十师一八八团招标人为第十师一八八团建设资金来自团场自筹资金项目已具备招标条件新疆谊诚工程项目管理公司北屯市分公司受招标人委托对该项目的监理进行公开招标,新疆维吾尔自治区,一八八团温室大棚建设项目监理招标公告,建设 监理 温室 大棚 新疆维吾尔自治区,data/bidding/t_model_aa,17
招标公告,号文批准建设第十师一八八团招标人为第十师一八八团建设资金来自团场自筹资金项目已具备招标条件新疆谊诚工程项目管理咨询有限公司北屯市分公司,新疆维吾尔自治区,一八八团温室大棚建设项目施工招标公告,建设 施工 温室 大棚 新疆维吾尔自治区,data/bidding/t_model_aa,18
招标公告,安泽县政府采购中心,山西省,唐城镇财政所唐城财政所办公楼维修工程谈判公告,办公楼 维修 工程 中心 山西省,data/bidding/t_model_aa,21
招标公告,图木舒克市广播电视中心,新疆维吾尔自治区,第三师图木舒克市广播电视全覆盖工程实施方案代可研,工程 实施方案 团场 中心 新疆维吾尔自治区,data/bidding/t_model_aa,23
